informe,comunidad autónoma,dosis Pfizer,dosis Pfizer pediátrica,dosis Moderna,dosis AstraZeneca,dosis Janssen,dosis entregadas,dosis administradas,% sobre entregadas,personas con al menos una dosis,personas con pauta completa,% pautas incompletas,personas con dosis adicionales,última vacuna registrada
07/01/2021,Ceuta,1.005,,,,,1.005,576,"57,3%",,,,,05/01/2021
07/01/2021,Melilla,1.005,,,,,1.005,426,"42,4%",,,,,05/01/2021
07/01/2021,Totales,743.925,,,,,743.925,207.323,"27,9%",,,,,
08/01/2021,Andalucía,140.295,,,,,140.295,69.445,"49,5%",,,,,07/01/2021
08/01/2021,Aragón,23.715,,,,,23.715,9.944,"41,9%",,,,,08/01/2021
08/01/2021,Asturias,23.720,,,,,23.720,17.843,"75,2%",,,,,08/01/2021
08/01/2021,Baleares,12.840,,,,,12.840,4.257,"33,2%",,,,,07/12/2021
08/01/2021,Canarias,27.660,,,,,27.660,9.572,"34,6%",,,,,08/01/2021
08/01/2021,Cantabria,11.850,,,,,11.850,2.334,"19,7%",,,,,08/01/2021
08/01/2021,Castilla y Leon,51.390,,,,,51.390,28.325,"55,1%",,,,,07/01/2021
08/01/2021,Castilla La Mancha,35.550,,,,,35.550,12.380,"34,8%",,,,,07/01/2021
08/01/2021,Cataluña,120.545,,,,,120.545,38.826,"32,2%",,,,,07/01/2021
08/01/2021,C. Valenciana,61.225,,,,,61.225,15.965,"26,1%",,,,,08/01/2021
08/01/2021,Extremadura,21.725,,,,,21.725,4.727,"21,8%",,,,,07/01/2021
08/01/2021,Galicia,37.555,,,,,37.555,24.750,"65,9%",,,,,08/01/2021
08/01/2021,La Rioja,5.915,,,,,5.915,1.674,"28,3%",,,,,08/01/2021
08/01/2021,Madrid,98.790,,,,,98.790,14.152,"14,3%",,,,,08/01/2021
08/01/2021,Murcia,25.685,,,,,25.685,8.958,"34,9%",,,,,08/01/2021
08/01/2021,Navarra,11.850,,,,,11.850,3.703,"31,2%",,,,,07/01/2021
08/01/2021,País Vasco,31.605,,,,,31.605,9.811,"31,0%",,,,,07/01/2021
08/01/2021,Ceuta,1.005,,,,,1.005,637,"63,4%",,,,,07/01/2021
08/01/2021,Melilla,1.005,,,,,1.005,673,"67,0%",,,,,08/01/2021
08/01/2021,Totales,743.925,,,,,743.925,277.976,"37,4%",,,,,
11/01/2021,Andalucía,140.295,,,,,140.295,81.387,"58,0%",,,,,09/01/2021
11/01/2021,Aragón,23.715,,,,,23.715,10.998,"46,4%",,,,,09/01/2021
11/01/2021,Asturias,23.720,,,,,23.720,18.943,"79,9%",,,,,09/01/2021
11/01/2021,Baleares,12.840,,,,,12.840,4.652,"36,2%",,,,,08/01/2021
11/01/2021,Canarias,27.660,,,,,27.660,13.607,"49,2%",,,,,11/01/2021
11/01/2021,Cantabria,11.850,,,,,11.850,8.474,"71,5%",,,,,11/01/2021
11/01/2021,Castilla y Leon,51.390,,,,,51.390,36.205,"70,5%",,,,,10/01/2021
11/01/2021,Castilla La Mancha,35.550,,,,,35.550,19.209,"54,0%",,,,,11/01/2021
11/01/2021,Cataluña,120.545,,,,,120.545,68.405,"56,7%",,,,,10/01/2021
11/01/2021,C. Valenciana,61.225,,,,,61.225,45.674,"74,6%",,,,,11/01/2021
11/01/2021,Extremadura,21.725,,,,,21.725,9.303,"42,8%",,,,,10/01/2021
11/01/2021,Galicia,37.555,,,,,37.555,30.418,"81,0%",,,,,11/01/2021
11/01/2021,La Rioja,5.915,,,,,5.915,3.457,"58,4%",,,,,11/01/2021
11/01/2021,Madrid,98.790,,,,,98.790,24.897,"25,2%",,,,,11/01/2021
11/01/2021,Murcia,25.685,,,,,25.685,10.361,"40,3%",,,,,11/01/2021
11/01/2021,Navarra,11.850,,,,,11.850,5.468,"46,1%",,,,,10/01/2021
11/01/2021,País Vasco,31.605,,,,,31.605,13.103,"41,5%",,,,,10/01/2021
11/01/2021,Ceuta,1.005,,,,,1.005,698,"69,5%",,,,,08/01/2021
11/01/2021,Melilla,1.005,,,,,1.005,832,"82,8%",,,,,08/01/2021
11/01/2021,Totales,743.925,,,,,743.925,406.091,"54,6%",,,,,
12/01/2021,Andalucía,140.295,,,,,140.295,94.879,"67,6%",,,,,11/01/2021
12/01/2021,Aragón,23.715,,,,,23.715,11.983,"50,5%",,,,,11/01/2021
12/01/2021,Asturias,23.720,,,,,23.720,22.428,"94,6%",,,,,12/01/2021
12/01/2021,Baleares,12.840,,,,,12.840,4.835,"37,7%",,,,,11/01/2021
12/01/2021,Canarias,27.660,,,,,27.660,15.328,"55,4%",,,,,12/01/2021
12/01/2021,Cantabria,11.850,,,,,11.850,9.527,"80,4%",,,,,12/01/2021
12/01/2021,Castilla y Leon,51.390,,,,,51.390,41.340,"80,4%",,,,,11/01/2021
